 34-0 34-1 f xopt_runtime xopt_error
0 -1.2254561855608 -2.999522784403485 100000 2.3738701000111178 False
1 2.699278924171443 2.7830781591596656 100000 2.470013900077902 False
2 2.1604145025171224 -1.9519773273835845 100000 2.5094031000044197 False
3 2.093810941448776 -2.23200405538954 100000 2.5240106000564992 False
4 -1.3757912310878124 -1.7140224504847021 100000 2.4665264000650495 False
5 2.698249632663055 -1.2011291740256755 100000 2.4846592999529094 False
6 2.2319177854315235 -0.14047036156848147 100000 2.505820899968967 False
7 -1.213946468203246 0.17675052258665547 100000 2.4933737000683323 False
8 -1.6670479951269632 0.12237264249967428 100000 2.4778259000740945 False
9 -0.5173398210672984 -2.6706098906552036 100000 2.4997199999634176 False
10 -2.9361253040710094 2.1207694935515247 100000 2.53460020001512 False
11 -1.718959344061207 2.518415168193131 100000 2.5362524999072775 False
12 2.018361834400758 2.9344771415647846 100000 2.5371356999967247 False
13 -2.790851791049622 2.868197556076822 100000 2.5284199999878183 False
14 -2.9693438337658806 2.989968568746013 100000 2.530885399901308 False
15 -2.616406207944846 -2.342896752323217 100000 2.543148900032975 False
16 -2.944786097792506 -1.56018659688889 100000 2.510557600064203 False
17 2.7243391349389605 2.315673737290191 100000 2.5298563999822363 False
18 -2.710746502160337 -2.2432656689320374 100000 2.533750900067389 False
19 2.108878796499599 -2.3630066554597673 100000 2.519991199951619 False
20 2.4992929665358514 2.811317261354148 100000 2.5268125999718904 False
21 -2.9819909703751892 -2.703974526651462 100000 2.542604499962181 False
22 2.4033965260176116 2.795034941767243 100000 2.536799699999392 False
23 -2.7691424868403742 2.7559059243460124 100000 2.553086999920197 False
24 2.2547027039609038 -2.990783980404151 100000 2.5488433999707922 False
25 2.785371708579645 -2.2643123078525322 100000 2.541924599907361 False
26 -1.8967540557141334 2.886492529820147 100000 2.5396348000504076 False
27 2.5117656815214082 2.4241724253254917 100000 2.5517882000422105 False
28 -2.947709608103942 2.577629875198166 100000 2.534090999979526 False
